hash,time,message,buggy
1a53c31,2015-08-11 00:08:34,'',0
e4907d7,2015-08-11 00:08:44,'',0
fe2ce45,2015-08-13 14:52:10,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13868 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
be93068,2015-08-13 14:52:21,'',0
36315f3,2015-08-13 14:52:31,'',0
24bf972,2015-08-14 14:56:57,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13881 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
6663800,2015-08-14 19:07:16,'',0
2395d65,2015-08-14 19:07:30,'',0
21dd53e,2015-08-14 19:09:06,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13888 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
916fc0f,2015-08-18 21:13:14,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13889 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
adabfc3,2015-08-18 21:50:30,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13890 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
6da9e4c,2015-08-18 22:54:48,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13891 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
dc2ebd0,2015-08-18 22:59:25,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13892 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
a4c8c59,2015-08-18 23:22:29,'',0
bcaafc2,2015-08-18 23:22:43,'',0
4d19041,2015-08-18 23:22:50,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13895 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
9a4a5c1,2015-08-18 23:22:53,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13896 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
83c1ac6,2015-08-18 23:57:58,'',0
7be9bc3,2015-08-19 14:33:40,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13900 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
16eed7a,2015-08-19 14:39:33,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13902 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
2f55b6d,2015-08-19 14:55:57,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13903 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1c3e0db,2015-08-19 14:56:21,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13904 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
c85a42a,2015-08-19 15:11:20,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13905 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
21f8abd,2015-08-19 15:15:32,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13906 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
071ded9,2015-08-19 15:16:24,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13907 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
185e746,2015-08-19 15:19:08,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13908 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
56d0cae,2015-08-19 15:23:53,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13909 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
cd86153,2015-08-19 15:32:45,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13910 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
06f25e6,2015-08-19 15:38:23,'',0
7e8fff9,2015-08-19 15:38:41,'',0
3e90c3e,2015-08-19 15:43:07,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13913 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
e3cfdfd,2015-08-19 16:15:23,'',0
fbaff8e,2015-08-19 16:15:31,'',0
8dae768,2015-08-19 16:15:42,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13918 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
27b4742,2015-08-19 16:15:44,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13919 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
e2ac7b2,2015-08-19 22:12:32,Updating Kokkos library--first deleting old folder,0
494ee3b,2015-08-19 22:17:15,Updating Kokkos library--adding new folder,0
e4e5261,2015-08-19 22:50:56,Adding optimizations to Kokkos EAM pair style,0
f842d1b,2015-08-20 15:44:15,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13924 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
3fcbe43,2015-08-20 15:55:19,Commented out line (temporarily) that causes a segmentation fault in the USER-AWPMD library,0
fec0587,2015-08-20 16:53:24,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13926 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
01004c3,2015-08-20 18:59:20,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13927 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
717ecf0,2015-08-20 21:38:25,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13928 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
f5388bb,2015-08-21 22:51:16,'',0
6353450,2015-08-21 22:51:32,'',0
