hash,time,message,buggy
4c8fa1b,2015-12-09 14:32:53,Redesign Parallel packed_range functions,0
43f1d0d,2015-12-09 14:39:43,Use new Packing API with Elem* and Node* types,0
01e74bf,2015-12-09 14:40:31,Type deduction argument for receive_packed_range(),0
56341df,2015-12-09 14:42:08,Initial unit test for new packed_range code,0
5fe4bc3,2015-12-09 14:42:37,Build new packed_range unit test,0
9b000bb,2015-12-09 14:42:49,Re-run bootstrap,0
e712ee3,2015-12-09 15:07:42,Fix unused variable warnings,0
ce0cc74,2015-12-09 15:08:00,More packed range unit tests,0
fe8672f,2015-12-21 14:30:09,Update MeshBase::spatial_dimension().,0
51c521d,2015-12-21 15:37:40,Set mesh spatial dimension in build_cube().,0
b60bcca,2015-12-21 15:42:48,Use LIBMESH_DIM rather than mesh.spatial_dimension().,0
16e2c65,2015-12-21 16:02:36,Add unit test of mesh.spatial_dimension().,0
7f5e9fa,2015-12-21 16:03:57,Run bootstrap.,0
2d81016,2016-01-04 21:01:03,Write nodal unique_id values to xda/xdr files,0
f61fcda,2016-01-07 16:17:16,Add simple slit_mesh_test,0
f309109,2016-01-07 16:20:13,Re-run bootstrap,0
20b3b61,2016-01-10 17:21:00,Test refinement + projections on a slit mesh,0
5c75b6a,2016-01-11 02:13:50,Add testRestart to slit mesh test,0
71af1a8,2016-01-12 09:11:01,Revert recent changes to system_projection.C,0
ce27e86,2016-01-13 11:28:56,Add ExodusII_IO::write_as_dimension().,0
5261124,2016-01-19 08:53:46,Fix dimension==0 issue in build_sphere after clearing mesh.,0
6990341,2016-01-19 12:17:06,Merge pull request #791 from jwpeterson/fix_build_sphere,0
b58ad88,2016-01-19 14:02:12,Avoid overwriting file in meshplot,0
7169d43,2016-01-19 16:27:12,Add configure test for broken errno_t issue.,0
9fb349f,2016-01-19 16:31:17,Write serial files until we work out that flaw,0
3029f64,2016-01-19 16:31:34,Run bootstrap.,0
6b30d2f,2016-01-19 23:36:08,Make FEMSystem numerical jacobians more robust,0
b1aa773,2016-01-20 09:41:46,Define errno_t on compilers where it is necessary.,0
5e9a899,2016-01-20 09:45:45,Ignore overlength string warnings from reference_elem.data,0
d455401,2016-01-20 10:00:13,Disable variadic macro warnings in GCC 5.,0
71be328,2016-01-20 10:11:07,Avoid overlength string warnings from libmesh_assert calls.,0
b744311,2016-01-20 10:17:34,NewmarkSolver: fix cache w/o restore bug,0
072f15f,2016-01-20 10:45:37,Fix overlength string in meshtool.C,0
