hash,time,message,buggy
079b2d3,2011-02-03 22:19:23,Use one fewer refinements by default for a quick test,0
dd62111,2011-02-03 22:26:48,Fix new examples for --enable-complex,0
9e49ab3,2011-02-07 19:54:17,Generalize PETSc-specific example code,0
8160c22,2011-02-07 19:54:42,Generalize PETSc-specific comments,0
c8f2acc,2011-02-07 23:45:07,Some more cleanup of the new examples,0
629852e,2011-02-09 17:02:42,The new examples require 2D support,0
08e2bd9,2011-02-09 17:03:33,Include header for numeric_limits directly,0
3884f44,2011-02-09 17:04:17,If someone tries to load a mesh of unsupported dimension  a sensible error at read time is better than a nasty error during postprocessing,0
7277c9d,2011-02-15 18:05:42,Removing DiffContext::request_jacobian - DiffSystem never got around to making it non-redundant or even using it  and the other systems might never want to use it.,0
1eb54e9,2011-02-15 21:10:11,Fixing bugs in Exodus writer/Iterators must be used if elements are deleted in the mesh,0
d28e1c4,2011-02-16 19:00:09,A few more iterator updates in the Exodus interface,0
ca48d5c,2011-02-21 17:11:25,Fixes from Roman Vetter for data imprecision  bugs in VTK output,0
f8d729e,2011-02-21 17:12:02,Remove excess chatter from VTK output,0
1f35f72,2011-02-22 18:29:55,Added ex28: Subdomain-Restricted Variables  from Ben,0
94cd042,2011-02-23 21:29:02,Checking in a major revision to rbOOmit. 1) Added RBEvaluation (and subclasses)  which factors out the parts of RBSystem needed to perform an RB_Solve. 2) Added RBComponent and related classes which allows us to connect RB models together using a substructuring approach.,0
469c37f,2011-02-23 21:41:52,small fix for complex number support,0
76ff3125,2011-02-24 02:26:20,these rbOOmit classes need some more work first...,0
6c7e250,2011-02-24 02:36:11,updated config.guess and support for gcc-4.6,0
951fab2,2011-02-24 16:34:44,Fix compilation failures in no-slepc  no-glpk cases,0
4eaedcb,2011-02-25 20:03:25,Copy associated BoundaryInfo when copying any Mesh,0
a8d14ca,2011-02-25 23:38:06,Changed initialize_calN_dependent_data to initialize_mesh_dependent_data  a more descriptive name. Also  small change to argument list for constructors in (QN)TransientRBEvaluation.,0
8eb53c8,2011-02-28 21:25:22,Fix for Tet10::has_affine_map() based on patch from Johannes Huber,0
83d7f94,2011-02-28 23:23:34,Patch from Roman Vetter for (serial) VTK output of parallel data.,0
8b4bc0a,2011-03-01 17:56:01,Patch based on Vikram Garg's work to enable patch recovery of seminorm errors based on individual gradient components,0
82d895c,2011-03-01 19:55:11,Don't let virtual functions get called indirectly from non-leaf constructor.,0
dcbb990,2011-03-01 20:32:27,Switch a couple non-adaptive examples to VTKIO now that that works in parallel.,0
7b0273a,2011-03-01 23:07:24,Fix for uses of topological_neighbor() that could break down on some partitionings.,0
817d7dd,2011-03-02 16:03:51,Checking in David Andrs' changes to PetscVector for detecting whether the type is ghosted or MPI.,0
284c2f6,2011-03-02 17:02:04,VTKIO fix for LIBMESH_DIM < 3,0
b420237,2011-03-02 17:23:36,PetscVector changes compilation fix,0
