hash,time,message,buggy
c506d9a,2013-02-02 16:53:03,direct link,0
4d2da6b,2013-02-02 19:01:18,allow ./bootstrap --build-autotools,0
c6e16ca,2013-02-03 08:54:14,copyright info  fix for barebones build,0
c01b0d5,2013-02-03 08:54:50,copyright info,0
7e50eab,2013-02-03 09:11:51,fix for 1D  complex configurations,0
c3cb34d,2013-02-03 09:22:35,massive comment-only fix for copyright consistency,0
1ee9b03,2013-02-03 13:58:33,adding netcdf-4.2.1.1 source tree,0
6c2d859,2013-02-03 18:04:19,rebaseline netcdf generated files,0
0e06408,2013-02-03 18:08:30,updating configure.ac to use silent rules  color tests,0
a289695,2013-02-03 18:10:39,add a .gitignore here to support in-tree builds,0
6716d4d,2013-02-03 18:18:49,update .gitignore for make  make check,0
e97660f,2013-02-03 18:25:24,update .gitignore for make check,0
25e2698,2013-02-03 18:37:04,disable tests requiring network access,0
5b0912f,2013-02-03 20:11:06,symlinks for easier version management,0
beaa35b,2013-02-03 20:19:40,support building legacy netcdf (v3) and new (v4) from source,0
d3949d4,2013-02-03 20:34:38,adding exodus-5.22b source tree,0
bbb517f,2013-02-03 20:35:10,symlinks for easy version handling,0
7103fb8,2013-02-03 21:36:51,new Makefile.am for a new exodus,0
bb0e5f8,2013-02-03 21:38:31,allow for old (v5.09) and new (v5.22) exodus trees,0
e65f789,2013-02-03 21:39:22,new Makefile.in for a new exodus,0
25d039c,2013-02-03 21:49:24,get defaults working properly by specifying a version,0
ed08e95,2013-02-03 21:56:29,fix for --disable-optional,0
504eed7,2013-02-03 22:10:52,gotta figure out a way not to recurse into v4 for configuration when we do not want to build v4  but still have make dist work...,0
f2661c3,2013-02-03 23:06:07,fix for --enable-complex,0
f495444,2013-02-04 06:21:38,fix for --enable-complex,0
0dd148f,2013-02-04 10:38:53,Directly use the __DEPRECATED token to avoid warnings about deprecated headers coming from VTK.  This works for GCC  and the __DEPRECATED token has been used at least as far back as GCC 4.2.,0
0f77129,2013-02-04 10:54:07,Removing deprecated OStringStream and OFStream classes.,0
b848041,2013-02-04 11:03:10,allow for --disable-nested to  uh  disable nesting,0
