hash,time,message,buggy
16f5bb8,2018-03-11 16:43:21,Fix another copy/paste bug similar to the one in #1620.,0
a34bd26,2018-03-12 08:12:24,Update automake version number to 1.3.0-rc2.,0
fcd77d5,2018-03-12 08:14:15,Run bootstrap.,0
34b9711,2018-03-13 16:08:06,Better LibMeshInit comments,0
f2ff48a,2018-03-15 14:33:42,DofMapTest: testCyclicConstraintDetection() requires exceptions.,0
b60f974,2018-03-15 14:38:20,ExodusII_IO: Update 'dummy' function definitions.,0
b5ac418,2018-03-15 14:45:58,threads.m4: Only error if user requested TBB and it wasn't available.,0
8290eea,2018-03-15 15:39:09,adjoints_ex1: This example requires --enable-exceptions,0
3c849a8,2018-03-15 16:05:24,LIBMESH_BROKEN_IOSTREAM no longer exists.,0
7d84177,2018-03-16 08:23:57,Run bootstrap.,0
