hash,time,message,buggy
54ed4b3,2010-10-08 13:55:34,Fixed bug 582 for compilation with C++ and additional fixes for compilation with c++.,0
5cc5d70,2012-02-19 00:09:24,HOLE analysis,0
bc3d680,2012-02-20 00:43:41,new utility functions which() and realpath(),0
009fb40,2012-02-20 00:59:03,HOLE analysis,0
d52d011,2012-06-23 11:52:03,HOLE analysis: 2D and 3D plot of profile families,0
999aca6,2012-06-26 21:55:01,version bumped to 0.7.7-devel,0
1a38e4b,2012-06-29 11:40:46,HOLE analysis: better error check and streamlined code,0
c606311,2012-07-04 10:50:52,Merge branch 'release-0.7.6' into develop,0
4c9f18d,2012-07-04 21:15:09,Merge branch 'release-0.7.6' into develop,0
b5f1f84,2012-07-12 00:53:19,Fix for Issue 115 - GRO file column width,0
f4184ea,2012-07-12 01:02:06,Updated CHANGELOG,0
86f7c4c,2012-07-12 10:25:54,HOLE analysis: HOLEtraj can take any MDAnalysis universe,0
e4fa96d,2012-07-12 11:13:57,Merge branch 'develop' of https://code.google.com/p/mdanalysis into develop,0
daafe4c,2012-07-13 17:42:40,disabled Bio.PDB warnings in PDBReader,0
b523653,2012-07-14 15:56:53,adjusted GRO velocity test case for fixed Issue 115,0
390b6e8,2012-07-14 23:04:51,Issue 80: Parallel distance matrix computation using Cython,0
0f81a6f,2012-07-16 10:03:59,hole: can save profiles as pickle,0
4381bbc,2012-07-17 11:43:30,HOLEtraj: can read orderparameters from file or sequence,0
61c8316,2012-07-17 11:45:47,New RMS analysis module,0
f060ed3,2012-07-17 14:13:54,parallel distance_array (Issue 80) in core.parallel.distances,0
9455306,2012-07-17 16:14:22,Merge branch 'develop' into Lukas/HOLE,0
aac158f,2012-07-18 17:39:01,docs for HOLE  RMS  parallel,0
3e46aa0,2012-07-18 17:42:32,regenerated html docs (HOLE  RMS  parallel added),0
57887a7,2012-07-18 17:43:23,Merge branch 'Lukas/HOLE' into develop,0
e469b9b,2012-07-19 09:36:43,reST docs: better referencing of QCP in rms and align,0
7004214,2012-07-19 10:37:00,regenerated online docs,0
b91013f,2012-07-20 23:02:06,Issue 76: chainreader format,0
d326bca,2012-07-20 23:05:52,Merge branch 'Issue/76' into develop,0
e11b6d2,2012-08-04 10:48:25,Issue 76: integrated jjlights03's patch,0
642a6ce,2012-08-04 11:51:45,Nuclinfo test fixes,0
06f592c,2012-08-06 21:37:22,Issue 80:  Parallel distance matrix computation using Cython (closing),0
cd19ce0,2012-08-16 14:34:52,added force methods / properties to AtomGroup,0
e792b02,2012-08-29 11:49:06,Added shapeParameter and asphericity calculations to AtomGroup.py.,0
63d571c,2012-08-29 18:42:25,asphericity() and shapeParameter() additions,0
e15fb06,2012-09-03 10:54:42,fixes Issue 117,0
4a0b2e5,2012-09-03 11:54:20,fixes Issue 116 (Failed to write AMBER netcdf trajectory from AtomGroup),0
6f593c0,2012-09-21 11:33:42,updated nucleic acid selection definitions,0
07a1f30,2012-10-15 15:02:48,fixes DCD writer: wrote wrong unitcell,0
1433d0a,2012-10-15 15:20:01,added test case for DCDWriter unitcell fix (and updated CHANGELOG),0
7cced89,2012-10-19 16:13:36,fixed: helanal analysis was missing import statement,0
553b355,2012-11-01 17:25:45,parallel distance array,0
a1cff5a,2012-11-01 18:29:53,doc fixes (Dima2004 reference),0
06cd49d,2012-11-01 18:30:15,regenerated online docs,0
a8c920b,2012-11-15 18:28:56,written TPRParser.py for tpx version 58,0
f591d59,2012-11-15 18:29:57,added TPR support to MDAnalysis/topology/__init__.py,0
9f05abe,2012-11-15 19:36:31,imporoved segment naming to make it more general,0
e3f5962,2012-11-18 21:49:03,added 'TPRParser' to __all__ in MDAnalysis/topology/__init__.py,0
e9af2c4,2012-11-18 22:43:10,added testcase: TestTPRv58 in test_topology.py,0
ed7ccab,2012-11-19 11:10:29,added Zhuyi Xue to CHANGELOG and AUTHORS,0
31df971,2012-11-19 11:29:27,CHANGELOG: heading for 0.7.7  added link to Issue 120,0
ffa309f,2012-11-22 09:38:05,added comments to examples/potential_profile.py,0
60da00b,2012-11-25 22:50:41,added gmxv73.tpr,0
f443cc8,2012-11-25 22:51:31,moved most functions in TPRParser.py to tpr_utils.py to make the parsing work flow more obvious.,0
b753342,2012-11-30 15:44:20,TPRParser.py is working for tpr version 73,0
4cb40cf,2012-11-30 16:05:27,added print_header function in TPRParser.py to print out tpr header info when parsing.,0
87db7c4,2012-11-30 16:05:46,removed gmxv73.tpr  added different version of tpr files  added test for v73 and v58  both works.,0
8ff69a1,2012-11-30 23:55:01,sparated tpr testing from test_topology.py to test_tprparser.py,0
ef59286,2012-12-01 18:02:28,Issue 23: 	generate bond list when using a PDB instead of a PSF,0
6b788fe,2012-12-02 09:43:34,added comments in test_tprparser.py to make it easier to understand,0
94db576,2012-12-03 13:44:30,Merge branch 'develop' of https://code.google.com/p/mdanalysis into develop,0
3966626,2012-12-03 13:45:35,Merge remote-tracking branch 'alfred532008/tprparser' into pyTPRparser,0
b1596bc,2012-12-03 13:48:09,Merge branch 'develop' into pyTPRparser,0
1294a3f,2012-12-03 14:29:04,reST update: changed 'versionadded:: 0.8' to 0.7.7,0
3cdab9a,2012-12-06 16:07:10,added elements to mass table,0
ca3a3f6,2012-12-10 15:16:31,forces: unit conversion and test case,0
dd1624a,2012-12-10 21:39:10,updated CHANGELOG,0
5a0d89c,2012-12-10 21:46:52,"Revert ""Issue 23: generate bond list when using a PDB instead of a PSF""",0
fdb8acd,2012-12-10 21:46:52,"Revert ""Issue 23: generate bond list when using a PDB instead of a PSF""",0
1c85077,2012-12-12 19:16:00,fixed Issue 121: PSFParser raised IndexError for missing SEGID,0
76e776b,2012-12-13 09:35:31,fixed force conversion (from commit ca3a3f62347e6b154ca167211a92b0db533b6d2b),0
4104e5a,2012-12-14 10:11:27,updated sphinx conf,0
8d8a89a,2012-12-14 10:12:02,LeafletFinder: use asUniverse(),0
f07e1d3,2012-12-14 10:26:03,libxdrfile: updated to 1.1.1,0
09458b2,2012-12-14 10:48:46,Merge branch 'xdrfile_update' into develop,0
050d4ab,2012-12-14 10:49:06,Merge branch 'develop' of https://code.google.com/p/mdanalysis into develop,0
431d037,2012-12-14 17:08:02,logger reports MDAnalysis version when starting,0
50e6f5a,2012-12-18 12:39:13,fixes Issue 122 by making netCDF4 an optional dependency,0
dd3345e,2012-12-18 13:39:36,updated authors/copyright in README,0
d177a8d,2012-12-19 09:58:33,merged develop into pyTPRparser,0
6d5f1af,2012-12-19 11:27:31,Empty commit to save state before psfgen addition,0
cdaeb60,2012-12-20 14:10:06,A few errors in code corrected,0
05a9d47,2012-12-20 16:47:07,Merge branch 'code-cleaning' into develop,0
dcd3dbc,2012-12-20 16:50:06,Fixed run_tests script,0
ad076bb,2012-12-20 18:53:20,Version number bumped to 0.7.7-rc1,0
004bcbc,2012-12-20 22:00:09,Updated MANIFEST.in to include scripts/,0
faf262f,2012-12-24 20:21:03,Version number change to '0.7.7' Documentation regenerated sebastien.buchoux added to contributors in CHANGELOG,0
881b913,2012-12-31 17:48:21,Merge branch 'develop' into pyTPRparser,0
a8bbf7c,2013-01-02 11:01:28,version number changed to 0.7.8-dev,0
f14fbb2,2013-01-02 20:48:55,updated CHANGELOG,0
fac7796,2013-01-11 10:03:54,Merge remote-tracking branch 'alfred532008/tprparser' into pyTPRparser,0
826fa8a,2013-01-11 11:51:06,fixed a bug in tpr_utils.py: data.unpack => data.unpack_float,0
a88b91f,2013-01-18 18:50:38,dihedral calculation as separate function,0
3ff668d,2013-01-20 20:36:30,MDAnalysis.analysis.density: updated docs,0
bebea4a,2013-01-20 21:29:24,DMSReader for topology and coordinates,0
612c547,2013-01-20 21:29:24,DMSReader for topology and coordinates,0
38136b4,2013-01-29 14:17:29,improved documentation for WaterDipole time series,0
65b4af2,2013-01-29 14:24:28,removed non-functional Timeseries.PrincipleAxis,0
431582a,2013-01-29 18:51:58,Merge branch 'develop' of https://code.google.com/p/mdanalysis into develop,0
83d8371,2013-02-01 12:07:39,merge feature-trr-sub branch  adds 'sub' arg to TRRReader,0
477236b,2013-02-01 12:07:39,merge feature-trr-sub branch  adds 'sub' arg to TRRReader,0
2bf6e69,2013-02-02 22:48:04,DMSReader for topology and coordinates,0
577bb55,2013-02-02 22:48:04,DMSReader for topology and coordinates,0
8433d13,2013-02-07 16:36:37,fixed Issue 126: corrected links to examples,0
9d0585f,2013-02-07 17:01:49,Merge branch 'develop' of https://code.google.com/p/mdanalysis into develop,0
c2f5b25,2013-02-07 17:14:32,added boilerplate docs for DMS coordinate and topology reader,0
a5d674e,2013-02-07 18:04:05,regenerated docs (fixed Issue 127  DMS parser  TRR parser sub argument),0
0a62194,2013-02-19 20:47:52,DMSReader - fixed a 'dictionary' typo  replaced with 'dict',0
aa87e2b,2013-02-24 00:16:17,PrimitivePDBReader - fixed bug related to 1-based frame indexing  which had broken multi-model PDB parsing,0
de88e95,2013-02-24 17:57:38,Fixed bug in rms.py,0
402a9a8,2013-02-26 14:59:36,HOLE analysis: added min_radius() method and made y-label of 3D plot configurable,0
420f035,2013-02-26 14:59:49,Merge branch 'develop' of https://code.google.com/p/mdanalysis into develop,0
fd43469,2013-04-09 22:35:32,updated links in SUMMARY.txt (PyPi),0
46f29f9,2013-04-09 22:37:30,HOLE analysis: cpoint keyword can now select HOLE's own algorithm,0
4ae13ac,2013-04-09 22:48:40,ChainReader: can fake a time with delta keyword,0
43d0db1,2013-04-11 18:43:14,Fixed array comparison bug in helanal,0
b1bf7aa,2013-04-11 18:58:30,merged developed into pyTPRparser feature branch,0
2e40ab1,2013-04-16 20:39:12,TPRparser reorganization and integration,0
4ec3120,2013-04-16 21:03:31,rebuilt docs (added TPRParser),0
cdbcd13,2013-04-16 21:10:59,TPRReader: fixed failure if angles could not be found,0
ed3654e,2013-04-16 22:26:45,added  Zhuyi Xue to the authors in the reST docs,0
